elapsed_min,power_W
14.15,2068
14.23,1293
14.32,1850
14.4,2197
14.73,1292
14.85,2035
15.03,2203
15.2,2123
15.28,1296
15.5,2205
15.77,1911
15.85,1298
16.02,2206
16.32,1814
16.4,2201
16.75,1805
16.83,1299
17.02,2202
17.28,1669
17.38,1300
17.57,2204
18.1,1649
18.18,1299
18.35,2206
18.65,1459
18.82,1803
18.98,2206
19.2,1419
19.38,1909
19.47,2206
19.82,1302
20.02,2212
20.22,1887
20.3,1304
21.18,1293
22.9,1292
25.18,1052
25.27,944
27.38,939
30.8,950
31.33,0
31.4,953
31.67,847
31.88,0
31.97,954
32.43,0
32.48,955
32.9,76
33.13,0
33.15,954
33.45,260
33.72,948
34.15,118
34.18,0
34.23,948
34.53,900
34.75,0
34.78,950
35.27,413
35.35,951
35.82,447
35.85,0
35.9,950
36.75,60
36.97,0
37.0,953
37.43,951
40.8,946
45.27,953
46.7,942
47.18,953
49.75,942
51.25,954
54.22,947
55.23,1291
55.48,0
63.32,1274
63.4,1312
67.63,1317
70.27,1110
70.35,954
70.85,0
70.9,955
71.17,939
71.4,0
